ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.cond,ela_meta.costs_runtime,ela_level.costs_runtime
-0.061562691169614235,-0.053392010830335956,0.020594282247606774,-0.04197050532591522,0.006543222579516894,-0.007302225106574224,-0.014973913886164593
-0.016687744010912005,0.03737485545054679,-0.015354933111521661,0.026994597116257808,0.010179936797929872,-0.030153658117837,0.007992599768170853
-0.013486598006153094,-0.03161515426148426,0.0011520180740722287,0.004952428699963433,0.009722080381024975,0.03436926022775715,0.018016499238819355
0.021055284817133323,-0.007362714213272048,-0.013541300398275698,-0.08861900529110976,0.00937641273618277,0.030735612690610627,-0.0020251882922903974
0.004382293411271581,0.015109072489033008,0.010930167350826015,-0.015087727873966783,0.009520114646845927,0.01306264405965106,0.008533773201981044
0.011331264805740756,0.03489718119205017,0.018345972936944697,-0.09239561990845936,0.009475932873627137,0.09817545016018427,-0.009179040094772911
0.0030328019449436814,0.034646306775503795,0.0011772915363414682,0.017307915311895846,-0.004866994705572755,0.01914571433629754,0.011790882806925826
-0.08098720377084094,-0.05000452708519665,-0.018770795153414892,-0.2595819607056726,-0.026104720012633285,0.018835349706866622,-0.025727359837316957
-0.019585788850236797,0.012323112769661363,0.057772924144698125,0.008633300141337364,0.0006255464863371002,-0.011855289928624292,0.011831422525071524
0.001668212408542036,0.025654408647755488,0.023164409090916445,0.013694709891050861,0.008654765332422631,0.0012958035359679348,-0.02110513121255857
-0.008493036625762854,0.01701302464002231,0.03215868963571627,0.018302588975399436,0.006295997612775459,0.019275436618219764,0.014333831766781888
-0.010631016198366408,0.01052746917662124,0.004941349510889159,0.02148885001657753,0.007768069993820323,-0.003790030455174953,-0.005186042365774885
-0.004157928314907994,0.0036079458745855828,0.07526589505439076,0.020089450112146964,0.008125682535833236,-0.023960884319676704,-0.01190614811679446
-0.006969495023484998,0.022257251474130973,0.03954956217754144,0.01499385450569707,0.006764488171165539,0.004429716704271851,0.0018157292139079182
0.006679012943137214,0.03679147163568348,0.010805188875055967,-0.1396233071189285,0.011028231042706038,0.029716784253464266,-0.004050044187085128
-0.009603719990664084,-0.0039119218059473545,-0.016027260818923663,0.01999591641340994,-0.004061657878216476,-0.01024225512699934,0.008294508642639383
0.017270507378405846,0.02390634623839314,-0.006116430598343523,0.015161254476661752,0.007266802879809728,0.0011441161833779384,-0.012321946801221556
-0.0073465384237334,0.013652459720851074,0.014049191962263716,0.018979299174020903,-0.00859194776623928,0.012168412539343493,0.0032278062449620434
0.008701383981674655,0.03301885164674423,0.027306203354875214,0.00820985579404332,0.005865284598532222,0.0034371640183618476,-0.008309497784454528
-0.026901842692236,0.005326652981087962,0.029562735085482635,0.022919738186694343,0.010375699546942665,-0.012029762862415149,0.013156188023068695
-0.024299074601543794,0.0014967480410079045,0.03331893473399349,0.026054111504701282,0.010830676525284164,-0.006830336935855335,0.01524833944169828
0.002056089820035181,0.025629986751181034,0.02253519022094928,0.013953646010682866,0.008627075724474827,0.0012370186085583698,-0.021266611467988517
0.008970377195135666,0.015195569175533304,0.12014920847200526,0.01061555182312625,0.007998677085868051,-0.010031793772777048,0.010701630744662547
-0.026756212915958588,-0.03287151608048076,0.013722478357431494,0.022247613429292892,0.009861918539145937,-0.0008033237674272259,9.35239377297583e-05
0.01755469830222448,0.03299096443966086,0.05072770643061791,0.00958811626358174,0.004761382758294214,0.016673905337524594,0.011810079603488817
-0.0048352387994654075,0.01839053783575842,0.019865709679561652,0.009673900448740318,0.006955202287198253,0.0009320278140053095,0.017893490689015332
-0.013732999530397572,0.04718862791870865,-0.007669186068254525,0.015396181684154244,0.009498862407953605,-0.026693654187238357,-0.0021391536246628644
-0.015291704420577135,0.03226658179748888,0.011101156241944691,0.003211770304483887,0.0019037087017482954,-0.02174995322922691,-0.0011624596884445716
-0.006495713973946361,0.03960402387975869,0.019336378923552437,0.0030986933399979335,0.00696818987336508,0.014567158008799628,-0.03081055187073364
0.019074226477967002,0.065537697195953,0.0009067085357864467,-0.00046983536061102893,0.005993901667129282,-0.01632942502018666,-0.02825820538977695
0.027407971314170134,0.026071352475109534,-0.012346431888132364,0.004708978917296831,0.006240777124635488,0.010012314230013256,-0.015911935507074614
-0.011717800650971213,0.02965599587580237,0.012641796607603045,0.0013360334276306812,0.006380528438444807,-0.003495762482119878,-0.022358995100623242
0.00542415517995765,-0.02631774824501635,0.007559488232858709,0.013568565313759131,0.003269080781716671,-0.0010508684250071058,0.010541068176607118
0.033007371363195905,0.0708737745369521,0.01178902253831655,-0.0004593289715534993,0.005525235456197241,-0.011585206519680044,-0.03866333948012533
-0.015864193530359158,-0.031922825297901115,-0.03344518809647256,0.0035940621812877993,0.006067152676012907,-0.011153555172762964,-0.10726357749016678
0.017175200943645698,0.05700051313595885,-0.0013077764826310491,-0.0009923915248922638,0.00603348287330615,0.017080728741046918,-0.020381036670828422
-0.020366692176805305,-0.07141582132760861,-0.042618049484701624,0.004268488841095204,-0.0018304910557502274,-0.012256052904487611,0.007009929530442176
-0.005366723113148494,0.0278656035822599,0.05486819234541327,0.009053898303484024,0.004485266443686963,0.007789459051443637,-0.005690387758681509
0.028250738516125792,0.004727376492256469,0.012722803819431876,0.010526043234253482,0.007393158871637082,0.001398590106147124,0.01587065756062932
-0.021691316978752356,0.02730030032682726,0.009811069230536068,0.02816748964992611,0.009472700856070167,-0.021397372423777532,0.009468330070766542
-0.07855606033988688,-0.05504374514725105,-0.01748770335412867,-0.4742259396106086,-0.012071834606390863,0.005449090655270217,-0.03027186314715066
